TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP
NONETRACED,RFUNDER,MULTI,VSM,NONETRACED_RFUNDER_MULTI_VSM,0.5875850340136055,0.7464285714285714,2.313492063492064,0.4032581453634085
NONETRACED,MEDIAN,RAW,LSA,NONETRACED_MEDIAN_RAW_LSA,0.5857325072886298,0.5991013824884792,2.333333333333333,0.4123773324591337
NONETRACED,MEDIAN,RAW,VSM,NONETRACED_MEDIAN_RAW_VSM,0.5857325072886298,0.6916242857142857,2.333333333333333,0.4123773324591337
NONETRACED,RFUNDER,SINGLE,VSM,NONETRACED_RFUNDER_SINGLE_VSM,0.5853174603174603,0.7511904761904762,2.3253968253968256,0.4194444444444444
NONETRACED,RFSMOTE,SINGLE,LSA,NONETRACED_RFSMOTE_SINGLE_LSA,0.5850340136054422,0.7380952380952381,2.3253968253968256,0.38673469387755105
UPPERTRACED,RFNONE,MULTI,LSA,UPPERTRACED_RFNONE_MULTI_LSA,0.5833333333333333,0.7023809523809523,2.3174603174603177,0.35915492957746475
NONETRACED,RFSMOTE,SINGLE,VSM,NONETRACED_RFSMOTE_SINGLE_VSM,0.5751133786848073,0.7226190476190476,2.3253968253968256,0.3643323996265173
UPPERTRACED,RFSMOTE,MULTI,LSA,UPPERTRACED_RFSMOTE_MULTI_LSA,0.5731292517006803,0.4928571428571429,2.333333333333333,0.33539766970618035
UPPERTRACED,RFSMOTE,MULTI,VSM,UPPERTRACED_RFSMOTE_MULTI_VSM,0.5700113378684808,0.4773809523809524,2.333333333333333,0.33350119517632204
UPPERTRACED,RFUNDER,RAW,LSA,UPPERTRACED_RFUNDER_RAW_LSA,0.5620748299319728,0.4345238095238095,2.3293650793650795,0.32892482330263434
UPPERTRACED,RFUNDER,MULTI,VSM,UPPERTRACED_RFUNDER_MULTI_VSM,0.5561224489795917,0.3976190476190476,2.333333333333333,0.3256909303230829
NONETRACED,RFNONE,SINGLE,VSM,NONETRACED_RFNONE_SINGLE_VSM,0.5436507936507936,0.7261904761904762,2.3253968253968256,0.3611111111111111
UPPERTRACED,RFUNDER,RAW,VSM,UPPERTRACED_RFUNDER_RAW_VSM,0.5396825396825397,0.4047619047619048,2.3095238095238093,0.3177938808373591
NONETRACED,RFNONE,MULTI,VSM,NONETRACED_RFNONE_MULTI_VSM,0.5357142857142857,0.7214285714285714,2.3293650793650795,0.35
NONETRACED,RFSMOTE,RAW,LSA,NONETRACED_RFSMOTE_RAW_LSA,0.530328798185941,0.705952380952381,2.321428571428572,0.32381920247773904
NONETRACED,RFSMOTE,RAW,VSM,NONETRACED_RFSMOTE_RAW_VSM,0.5289115646258504,0.7023809523809523,2.3253968253968256,0.3211180124223602
LOWERTRACED,RFSMOTE,RAW,LSA,LOWERTRACED_RFSMOTE_RAW_LSA,0.5277777777777778,0.7166666666666667,2.3293650793650795,0.3388888888888889
NONETRACED,RFNONE,SINGLE,LSA,NONETRACED_RFNONE_SINGLE_LSA,0.5198412698412699,0.7119047619047619,2.3293650793650795,0.3277777777777777
