Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,DIRECT,Direct,0.0,,,LSA,DIRECT_NA_NA_LSA,NA,0.7782366915019977,0.6639700160703713,2.293650793650793,0.6795107654487806
EasyClinic,DIRECT,Direct,0.0,,,VSM,DIRECT_NA_NA_VSM,NA,0.7782366915019977,0.6757951190476189,2.293650793650793,0.6795107654487806
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,SINGLE,VSM,UPPERTRACED_RFSMOTE_SINGLE_VSM,NA,0.7517006802721088,0.6761904761904762,2.234126984126984,0.4690572585309427
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,SINGLE,LSA,UPPERTRACED_RFSMOTE_SINGLE_LSA,NA,0.7312925170068025,0.6619047619047619,2.2777777777777777,0.451288056206089
EasyClinic,NONETRACED,Indirect,0.0,SUM,MULTI,VSM,NONETRACED_SUM_MULTI_VSM,NA,0.7202009772162834,-0.8061657142857143,2.3293650793650795,0.5766025354493128
EasyClinic,NONETRACED,Indirect,0.0,SUM,MULTI,LSA,NONETRACED_SUM_MULTI_LSA,NA,0.7202009772162834,0.6252690499075638,2.3293650793650795,0.5766025354493128
EasyClinic,NONETRACED,Indirect,0.0,SUM,RAW,VSM,NONETRACED_SUM_RAW_VSM,NA,0.7102870910268871,0.5315005952380952,2.3293650793650795,0.5674328708529183
EasyClinic,NONETRACED,Indirect,0.0,SUM,RAW,LSA,NONETRACED_SUM_RAW_LSA,NA,0.7102870910268871,0.6138307826707221,2.3293650793650795,0.5674328708529183
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,MULTI,VSM,UPPERTRACED_RFNONE_MULTI_VSM,NA,0.6862244897959183,0.7178571428571429,2.3293650793650795,0.43707658321060383
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,RAW,VSM,UPPERTRACED_RFNONE_RAW_VSM,NA,0.6842403628117915,0.7833333333333333,2.3293650793650795,0.4891534391534391
